condomínio,casa,Latitude,Longitude,Area,Quartos,Vagas de estacionamento,Localização,Banheiros,Preço
1,0,"-27,42","-48,43",318 m²,3,2,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus",1,3100000
1,0,"-27,48","-48,41",172 m²,3,2,"Ingleses do Rio Vermelho, Florianópolis",3,2800000
1,0,"-27,58","-48,58",185 m²,3,3,"Rua Olavo Bilac, Canto",4,1800000
1,0,"-27,60","-48,60",159 m²,3,2,"Capoeiras, Florianópolis",4,763000
1,0,"-27,59","-48,50",74 m²,2,1,"Rodovia Amaro Antônio Vieira, Itacorubi",2,550000
0,1,"-27,45","-48,38",73 m²,2,2,"Servidão Leonel Domingos da Silva, Santinho",3,479000
1,0,"-27,45","-48,42",56 m²,2,1,"Estrada Anarolina Silveira Santos, Vargem do Bom Jesus",1,315000
0,1,"-27,58","-48,54",122 m²,3,3,"Rua Embaixador Edmundo da Luz Pinto, Agronômica",3,2200000
0,1,"-27,48","-48,41",234 m²,4,4,"Rua Candido Pereira dos Anjos, São João do Rio Vermelho",1,1290000
0,1,"-27,54","-48,50",99 m²,3,2,"Rodovia Virgílio Várzea, Saco Grande",2,1151598
1,0,"-27,59","-48,50",103 m²,3,2,"Avenida Buriti, Itacorubi",2,895000
0,1,"-27,59","-48,59",1050 m²,,,"Rua Padre Ely Luiz Nodari, Coloninha",,1300000
0,1,"-27,58","-48,54",180 m²,3,2,"Rua Rui Barbosa, Agronômica",4,2500000
0,1,"-27,45","-48,45",4174 m²,1,,"Rua Francisco Fausto Martins, Vargem Grande",,4000000
1,0,"-27,43","-48,41",226 m²,4,2,"Centro, Florianópolis",2,2050000
1,0,"-27,59","-48,58",348 m²,3,3,"Rua Doutor Heitor Blum, Estreito",4,2600000
0,1,"-27,46","-48,40",104 m²,2,2,"Rua Fernando Bauther da Silva, Ingleses do Rio Vermelho",3,599000
0,1,"-27,47","-48,46",1445 m²,,,"Servidão Acácio Vieira da Rosa, Vargem Pequena",,380000
1,0,"-27,51","-48,51",280 m²,3,4,"Rua Deputado Walter Gomes, Santo Antônio de Lisboa",5,2200000
1,0,"-27,57","-48,51",71 m²,2,1,"Rua Patrício Farias, Itacorubi",3,790000
0,1,"-27,58","-48,54",168 m²,2,,"Agronômica, Florianópolis",,280000
1,0,"-27,59","-48,46",284 m²,3,4,"Canto, Florianópolis",4,1980000
1,0,"-27,59","-48,55",69 m²,2,1,"Avenida Rio Branco, Centro",2,820000
0,1,"-27,59","-48,57",2080 m²,30,4,"Rua Fúlvio Aducci, Estreito",,1900000
0,1,"-27,53","-48,52",32 m²,1,1,"Estrada Haroldo Soares Glavan, Cacupé",1,365918
1,0,"-27,46","-48,38",75 m²,2,1,"Estrada Vereador Onildo Lemos, Santinho",2,461000
0,1,"-27,44","-48,47",76 m²,2,1,"Canasvieiras, Florianópolis",2,831961
1,0,"-27,59","-48,50",72 m²,2,1,"Avenida Buriti, Itacorubi",2,695000
0,1,"-27,48","-48,41",360 m²,3,5,"Ingleses do Rio Vermelho, Florianópolis",3,731000
1,0,"-27,58","-48,58",135 m²,3,2,"Balneário, Florianópolis",3,950000
1,0,"-27,60","-48,52",110 m²,3,3,"Rua Professor Simão José Hess, Trindade",3,850000
1,0,"-27,59","-48,50",71 m²,2,1,"Itacorubi, Florianópolis",2,720000
1,0,"-27,59","-48,50",67 m²,2,1,"Rodovia Amaro Antônio Vieira, Itacorubi",2,799000
1,0,"-27,44","-48,41",115 m²,3,1,"Rodovia Armando Calil Bulos, Ingleses do Rio Vermelho",3,522000
1,0,"-27,59","-48,50",93 m²,3,2,"Rodovia Amaro Antônio Vieira, Itacorubi",2,850000
